Model,ELO
allenai/olmo-3-32b-think:free,1243.75
openai/gpt-5.2-pro,1233.21
meta-llama/llama-3.1-405b-instruct:free,1231.30
openai/gpt-5.2,1219.59
meta-llama/llama-4-maverick,1218.69
anthropic/claude-sonnet-4.5,1216.52
qwen/qwen3-max,1213.00
mistralai/mistral-large-2512,1206.17
qwen/qwen3-30b-a3b,1201.47
google/gemini-3-flash-preview,1201.40
deepseek/deepseek-r1-0528:free,1201.34
deepseek/deepseek-v3.2,1200.27
google/gemini-3-pro-preview,1199.03
qwen/qwen3-30b-a3b-instruct-2507,1198.53
x-ai/grok-4,1198.30
x-ai/grok-4.1-fast,1184.73
anthropic/claude-opus-4.5,1169.47
qwen/qwen3-coder:free,1167.36
mistralai/mistral-7b-instruct:free,1156.25
microsoft/phi-4-reasoning-plus,1139.64
